Org Name,Request Type,Amount Requested,Amount,Committee Status,Source,Org Type (year),Date
AFX Dance,Contingency,1500,1500.0,Approved,Both (Agenda Priority),SAG 11 ,04/08/2024
AFX Dance,Contingency,2700,1500.0,Approved,Both (Agenda Priority),SAG 11 ,04/08/2024
ASUC - Office of the Executive Vice President,Contingency,310,310.0,Approved,Both (Agenda Priority),GOVT,04/08/2024
African Maghreb Student Union,Contingency,"$1,500",500.0,Approved,Both (Agenda Priority),SAG 1 ,04/08/2024
Berkeley Ballroom Dancers,Contingency,1350,1350.0,Approved,Both (Agenda Priority),SAG 9,04/08/2024
DataGood at Berkeley,Contingency,50,50.0,Approved,Both (Agenda Priority),SAG 3,04/08/2024
East Asian Union,Contingency,1500,1500.0,Approved,Both (Agenda Priority),SAG 9,04/08/2024
Educate a Child for Change Organization at Berkeley,Contingency,5000,0.0,Denied or Tabled Indefinetly,Both (Agenda Priority),SISG 2 ,04/08/2024
Office of Senator Andrea Jimenez,Contingency,$567.32,567.32,Approved,Both (Agenda Priority),GOVT,04/08/2024
T.I.n.Y. Chinese Theatre Group,Contingency,"$1,114.22",0.0,Denied or Tabled Indefinetly,Both (Agenda Priority),SAG 1,04/08/2024
ASUC Elections Council,Finance Rule,,4500.0,Approved,Agenda Only,,04/08/2024
Cal Berkeley Democrats,Finance Rule,"$1,350.00",1350.0,Approved,Both (Agenda Priority),SAG 26,04/08/2024
Pakistani Student Association,Finance Rule,700,1100.0,Approved,Both (Agenda Priority),SAG 19,04/08/2024
Taiwanese Student Association,Finance Rule,360,360.0,Approved,Both (Agenda Priority),SAG 26,04/08/2024
Taiwanese Student Association,Finance Rule,4500,360.0,Approved,Both (Agenda Priority),,04/08/2024
AFX Dance,Space Reservation,1500,2700.0,Approved,Both (Agenda Priority),SAG 11 ,04/08/2024
AFX Dance,Space Reservation,2700,2700.0,Approved,Both (Agenda Priority),SAG 11 ,04/08/2024
ASUC Student Legal Clinic,Space Reservation,500,0.0,No record on input doc,Both (Agenda Priority),,04/08/2024
ASUC Student Union Program Entertainment & Recreation Board (SUPERB),Space Reservation,30000,0.0,No record on input doc,Both (Agenda Priority),GOVT,04/08/2024
Arab Student Union,Space Reservation,8000,0.0,No record on input doc,Both (Agenda Priority),SAG 12,04/08/2024
Berkeley Tennis Association,Space Reservation,639.8,0.0,Denied or Tabled Indefinetly,Both (Agenda Priority),SAG 6,04/08/2024
"Blueprint, Technology for Nonprofits",Space Reservation,5500,0.0,No record on input doc,Both (Agenda Priority),,04/08/2024
Cinematic Arts and Production Club,Space Reservation,"$8,000",0.0,No record on input doc,Both (Agenda Priority),SAG 4,04/08/2024
Community Projects,Space Reservation,"$90,000",0.0,No record on input doc,Both (Agenda Priority),SAG 2,04/08/2024
Educate a Child for Change at Berkeley,Space Reservation,"$2,500",0.0,Denied or Tabled Indefinetly,Both (Agenda Priority),SISG 2 ,04/08/2024
Innovative Design,Space Reservation,8730,0.0,No record on input doc,Both (Agenda Priority),GOVT,04/08/2024
Keebs at Berkeley,Space Reservation,2700,1526.5,Approved,Both (Agenda Priority),SAG 1,04/08/2024
Patient Advocacy Student Group,Space Reservation,"$2,594.90",0.0,No record on input doc,Both (Agenda Priority),,04/08/2024
Pilipno American Alliance,Space Reservation,20000,0.0,No record on input doc,Both (Agenda Priority),,04/08/2024
Queer Alliance & Resource Center,Space Reservation,60000.00~80000.00,0.0,No record on input doc,Both (Agenda Priority),SISG 55,04/08/2024
Students for Life at Berkeley,Space Reservation,4000,0.0,No record on input doc,Both (Agenda Priority),,04/08/2024
Taiwanese Student Association,Space Reservation,360,0.0,No record on input doc,Both (Agenda Priority),SAG 26,04/08/2024
Taiwanese Student Association,Space Reservation,4500,0.0,No record on input doc,Both (Agenda Priority),,04/08/2024
Threads,Space Reservation,"$8,000",0.0,No record on input doc,Both (Agenda Priority),PUB 24,04/08/2024
UC Rally Committee,Space Reservation,"$72,000",0.0,No record on input doc,Both (Agenda Priority),,04/08/2024
Undergraduate Real Estate Club,Space Reservation,2500,0.0,No record on input doc,Both (Agenda Priority),SAG 9,04/08/2024
Venture Strategy Solutions at Berkeley,Space Reservation,650,0.0,No record on input doc,Both (Agenda Priority),SAG 3,04/08/2024
Vietnamese Student Association,Space Reservation,14000,0.0,No record on input doc,Both (Agenda Priority),SISG 32,04/08/2024
ABSA Funding,,,0.0,,FR Only,8539.8,
ASUC Electios Council,Finance Rule ,4500,0.0,Recommended for approval,FR Only,GOVT,
Senate Contingency,,,0.0,,FR Only,7427.32,
Total,,,0.0,,FR Only,15967.12,
nan,,,0.0,,FR Only,,
nan,,,0.0,1313.1,FR Only,,
nan,,,0.0,4226.5,FR Only,,
nan,,,0.0,5539.6,FR Only,,
nan,,,0.0,,FR Only,,
nan,,,0.0,1313.1,FR Only,,
nan,,,0.0,4226.5,FR Only,,
nan,,,0.0,5539.6,FR Only,,
nan,,,0.0,,FR Only,,
nan,,,0.0,1313.1,FR Only,,
nan,,,0.0,4226.5,FR Only,,
nan,,,0.0,5539.6,FR Only,,
