Org Name,Request Type,Amount Requested,Amount,Committee Status,Source,Org Type (year),Date
ASUC Sustainability Commission,Contingency,"$1,500.00","1,500.00",Approved,Both (Agenda Priority),GOVT,11/25/2024
ASUC Sustainability Commission,Contingency,"$1,500.00","1,500.00",Approved,Both (Agenda Priority),GOVT,11/25/2024
Berkeley Legal Studies Association,Contingency,"$1,500.00",0,Denied or Tabled Indefinetly,Both (Agenda Priority),SAG 1,11/25/2024
Berkeley Legal Studies Association,Contingency,Tabled indefinitely,0,Denied or Tabled Indefinetly,Both (Agenda Priority),SAG 1,11/25/2024
Call of Duty at Berkeley,Contingency,$359.00,359.00,Approved,Both (Agenda Priority),SAG 1,11/25/2024
Call of Duty at Berkeley,Contingency,$359.00,359.00,Approved,Both (Agenda Priority),SAG 1,11/25/2024
Eggster Organization,Contingency,"$1,500.00",0,Denied or Tabled Indefinetly,Both (Agenda Priority),SAG 24,11/25/2024
Eggster Organization,Contingency,"$2,977.00",0,Denied or Tabled Indefinetly,Both (Agenda Priority),SAG 24,11/25/2024
Eggster Organization,Contingency,Tabled indefinitely,0,Denied or Tabled Indefinetly,Both (Agenda Priority),SAG 24,11/25/2024
Eggster Organization,Contingency,Table for one week,0,Denied or Tabled Indefinetly,Both (Agenda Priority),SAG 24,11/25/2024
Kappa Alpha Pi Pre-Law Fraternity,Contingency,$855.00,855.00,Approved,Both (Agenda Priority),SAG 9,11/25/2024
Kappa Alpha Pi Pre-Law Fraternity,Contingency,$855.00,855.00,Approved,Both (Agenda Priority),SAG 9,11/25/2024
Mathematics Undergraduate Student Association,Contingency,"$1,500.00","1,500.00",Approved,Both (Agenda Priority),SAG 8 ,11/25/2024
Mathematics Undergraduate Student Association,Contingency,"$1,500.00","1,500.00",Approved,Both (Agenda Priority),SAG 8 ,11/25/2024
Pakistani Student Association,Contingency,$655.00,0,Denied or Tabled Indefinetly,Both (Agenda Priority),SAG 20,11/25/2024
Pakistani Student Association,Contingency,Tabled indefinitely,0,Denied or Tabled Indefinetly,Both (Agenda Priority),SAG 20,11/25/2024
Pointe of Berkeley,Contingency,$562.50,0,Tabled,Both (Agenda Priority),SAG 8 ,11/25/2024
Pointe of Berkeley,Contingency,Table for one week,0,Tabled,Both (Agenda Priority),SAG 8 ,11/25/2024
Ra-On,Contingency,"$1,500.00",0,Tabled,Both (Agenda Priority),SAG 13,11/25/2024
Ra-On,Contingency,Table for one week,0,Tabled,Both (Agenda Priority),SAG 13,11/25/2024
