Org Name,Request Type,Amount Requested,Amount,Committee Status,Source,Org Type (year),Date
ASUC - Student Union Program Entertainment & Recreation Board (SUPERB),Contingency,1500,1500.0,Approved,FR Only,GOVT,
ASUC Office of External Affairs (415),Contingency,,415.0,Approved,Agenda Only,,02/03/2025
"ASUC Office of Senator Isha Chander ($1,364)",Contingency,,1364.0,Approved,Agenda Only,,02/03/2025
ASUC Sustainability Commission,Contingency,1500,500.0,Approved,FR Only,GOVT,
Ballet & Books at Berkeley,Contingency,$460.00,460.0,Approved,FR Only,SAG 2,
Ballet Company At Berkeley,Contingency,600,600.0,Approved,FR Only,SAG 13,
"Berkeley Legal Studies Association ($1,500)",Contingency,,0.0,Denied or Tabled Indefinetly,Agenda Only,,02/03/2025
BridgeUSA at Berkeley,Contingency,"$1,500",0.0,Tabled indefinitely,FR Only,SAG 7,
BridgeUSA at Berkeley (1500),Contingency,,0.0,Tabled,Agenda Only,,02/03/2025
CRP at Berkeley,Contingency,40,0.0,Table for one week,FR Only,SAG 1,
Cognitive Science Students Association,Contingency,,0.0,Denied or Tabled Indefinetly,Agenda Only,,02/03/2025
Helix @ Berkeley,Contingency,1500,300.0,Approved,FR Only,SISG 25,
Helix @ Berkeley (Under Community Projects),Contingency,,0.0,Denied or Tabled Indefinetly,Agenda Only,,02/03/2025
"Heuristic Squelch, The (1000)",Contingency,,0.0,Denied or Tabled Indefinetly,Agenda Only,,02/03/2025
Jeeva Clinic,Contingency,525,0.0,Tabled indefinitely,FR Only,SISG 2,
Jeeva Clinic (525),Contingency,,0.0,Tabled,Agenda Only,,02/03/2025
Natya at Berkeley,Contingency,1500,1500.0,Approved,FR Only,SAG 11,
Pointe of Berkeley,Contingency,,0.0,Denied or Tabled Indefinetly,Agenda Only,,02/03/2025
The ASUC Office of Senator Jonathan Ngai,Contingency,"$1,500",500.0,Approved,FR Only,GOVT,
ASUC Housing Commission (300),Finance Rule,,300.0,Approved,Agenda Only,,02/03/2025
ASUC Office of Maitri Halapa,Finance Rule,100,100.0,Approved,FR Only,GOVT,
ASUC Office of Senator Jonathan Franco,Finance Rule,300,300.0,Approved,FR Only,GOVT,
Artists in Resonance A Cappella  ($210.09),Finance Rule,,0.0,Denied or Tabled Indefinetly,Agenda Only,,02/03/2025
Faces of African Muslims,Finance Rule,"1,500",0.0,Tabled indefinitely,FR Only,SAG 7,
Health and Medical Apprenticeship Program,Finance Rule,$120.00,120.0,Approved,FR Only,SISG 41,
threads,Finance Rule,$300,300.0,Approved,FR Only,PUB 25,
"ASUC Health Advocacy Commission  ($1,299.00)",Space Reservation,,0.0,Denied or Tabled Indefinetly,Agenda Only,,02/03/2025
ASUC Office of Senator Abigail Verino,Space Reservation,"$2,977",2977.0,Approved,FR Only,GOVT,
"Association of Korean Artists ($1,255)",Space Reservation,,0.0,Denied or Tabled Indefinetly,Agenda Only,,02/03/2025
Berkeley Ballroom Dancers,Space Reservation,2977,900.0,Approved,FR Only,SAG 1,
Cognitive Science Students Association  (1800),Space Reservation,,0.0,Denied or Tabled Indefinetly,Agenda Only,,02/03/2025
Faces of African Muslims,Space Reservation,"1,500",500.0,Approved,FR Only,SAG 7,
International Students Association at Berkeley  ($933),Space Reservation,,0.0,Denied or Tabled Indefinetly,Agenda Only,,02/03/2025
Khmer Student Association,Space Reservation,$500,500.0,Approved,FR Only,SAG 1,
Natural Hair Collective,Space Reservation,1500,0.0,Tabled indefinitely,FR Only,PUB 27,
Natural Hair Collective (1500),Space Reservation,,0.0,Tabled,Agenda Only,,02/03/2025
"Student Union Program, Entertainment, and Recreation Board (SUPERB)",Space Reservation,1433,0.0,Tabled indefinitely,FR Only,GOVT,
Thrive Dance Company  (1503),Space Reservation,,0.0,Denied or Tabled Indefinetly,Agenda Only,,02/03/2025
Vertical Takeoff or Landing at Berkeley,Space Reservation,"$1,280",0.0,Table for one week,FR Only,SAG 1,
American Sign Language At Berkeley,Sponsorship,,,Approved,FR Only,SAG,
Bamboo Abroad at Berkeley,Sponsorship,,,Approved,Agenda Only,,02/03/2025
Beach Volleyball Club,Sponsorship,,,Approved,Agenda Only,,02/03/2025
Best Laid Plans,Sponsorship,,,Approved,Agenda Only,,02/03/2025
Bio-Business Initiative,Sponsorship,,,Approved,FR Only,SAG,
Cal Actuarial League,Sponsorship,,,Tabled,Both (Agenda Priority),SAG ,02/03/2025
Corporate Strategy Group at Berkeley,Sponsorship,,,Table for one week,FR Only,SAG,
Creative Residencies for Emerging Artists Teaching Empowerment,Sponsorship,,,Approved,Agenda Only,,02/03/2025
Dance Board of Berkeley Dance Community,Sponsorship,,,Approved,FR Only,SAG,
Educate a Child for Change Organization at Berkeley,Sponsorship,,,Approved,FR Only,SISG,
Engineering Solutions at Berkeley,Sponsorship,,,Approved,Agenda Only,,02/03/2025
Eritrean-Ethiopian Student Association,Sponsorship,$500,,Approved,Both (Agenda Priority),SAG 1,02/03/2025
Eritrean-Ethiopian Student Association,Sponsorship,"$1,255",,Approved,Both (Agenda Priority),SAG 1,02/03/2025
Field Hockey Club of Berkeley,Sponsorship,,,Tabled,Both (Agenda Priority),SAG ,02/03/2025
Global Health Brigades at Berkeley,Sponsorship,,,Table for one week,FR Only,SISG,
Good Grief at Berkeley,Sponsorship,,,Approved,FR Only,SAG,
IDEAS at Berkeley,Sponsorship,,,Approved,FR Only,SAG,
In Transcription at Berkeley,Sponsorship,,,Approved,Agenda Only,,02/03/2025
KOSMOS,Sponsorship,,,Approved,Agenda Only,,02/03/2025
Mars Habitat at Berkeley,Sponsorship,,,Approved,FR Only,SAG,
Media Studies Student Association,Sponsorship,$432,280.0,Approved,Both (Agenda Priority),SAG 1,02/03/2025
Mycology Club at Berkeley,Sponsorship,,,Approved,Agenda Only,,02/03/2025
Myriad Legal Consulting,Sponsorship,,,Table for one week,FR Only,SAG,
NeuroScience Club at Berkeley,Sponsorship,,,Tabled,Both (Agenda Priority),SAG ,02/03/2025
"Society of Engineers, Scientists, and Entrepreneurs",Sponsorship,,,Approved,FR Only,SAG,
Sustainable Internet Lab,Sponsorship,1500,,Approved,Both (Agenda Priority),SAG 1,02/03/2025
Venture Capital at Berkeley (BVC),Sponsorship,,,Approved,Agenda Only,,02/03/2025
Women's Club Basketball at Berkeley,Sponsorship,,,Denied or Tabled Indefinetly,Agenda Only,,02/03/2025
Women's Network at Berkeley,Sponsorship,,,Approved,FR Only,SAG,
SR 24/25-037,Senate Bill,,,Approved,FR Only,,
nan,,,0.0,,FR Only,,
