 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ASUC Fiscal Year 2025 General Budget [FINAL],,,,,,,,,,
ASUC Chief Financial Officer: Catherine Park,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ASUC Chartered Programs and Commissions,,,,,,,,,,
Organization,Sponsorship Category,,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding
ASUC Mental Health Commission,GOVT,,126447,34020287200000,,,,,"$3,000","$3,000"
ASUC Mental Health Commission Chair Stipend,STIPEND,,126447,340202872STIPE,,,,,"$1,500","$1,500"
ASUC Mental Health Commission Director Stipends,STIPEND,,126447,340202872STIPE,,,,,$500,$500
ASUC Housing Commission,GOVT,,46042,34010026000000,,,,,"$3,000","$3,000"
ASUC Housing Commission Chair Stipend,STIPEND,,46042,340100260STIPE,,,,,"$1,250","$1,250"
ASUC Housing Commission Vice Chair Stipend,STIPEND,,46042,340100260STIPE,,,,,$750,$750
ASUC Sexual Violence Commission,GOVT,,91441,34010029600000,,,,,"$1,000","$1,000"
ASUC Disabled Students Commission,GOVT,,46719,34010036000000,,,,,"$4,000","$4,000"
ASUC Disabled Students Commission Co-Chair Stipends ($1000 each),STIPEND,,46719,340100360STIPE,,,,,"$2,000","$2,000"
ASUC Sustainability Commission,GOVT,,46003,34010023600000,,,,,"$5,000","$5,000"
ASUC Sustainablity Commission Co-Chair Stipends ($1000 each),STIPEND,,46003,340100236STIPE,,,,,"$2,000","$2,000"
ASUC Health Advocacy Commission,GOVT,,94207,34010036800000,,,,,"$6,000","$6,000"
ASUC Health Advocacy Commission Co-Chair Stipends ($1000 each),STIPEND,,94207,340100368STIPE,,,,,"$2,000","$2,000"
ASUC Menstrual Equity Commission,GOVT,,46718,34010037200000,,,,,"$1,000","$1,000"
ASUC Menstrual Equity Commission Co-Chair Stipends ($1000 each),STIPEND,,46718,340100372STIPE,,,,,"$2,000","$2,000"
"ASUC Student Union Programming, Entertainment, and Recreation Board",GOVT,,46330,34010028800000,,,,,"$10,000","$10,000"
CalTV,GOVT,,46164,34020072400000,,,,,"$9,000","$9,000"
ASUC Publications and Media Board,GOVT,,162553,34010036400000,,,,,"$4,000","$4,000"
Innovative Design,GOVT,,46493,34010028000000,,,,,"$7,500","$7,500"
Open Computing Facility,GOVT,,46187,34020175200000,,,,,"$40,000","$40,000"
ASUC Student Legal Clinic,GOVT,,46010,34020033200000,,,,,"$2,000","$2,000"
ASUC Grant & Scholarship Foundation,GOVT,,168130,34010032000000,,,,,"$2,000","$2,000"
ASUC Grant & Scholarship Foundation Director Stipends,STIPEND,,168130,340100320STIPE,,,,,"$2,000","$2,000"
GOVT SUBTOTAL,,,,,,,$0,$0,"$111,500","$111,500"
,,,,,,,,,,
ASUC-Sponsored Registered Student Organizations,,,,,,,,,,
Publications (PUB) Registered Student Organizations,,,,,,,,,,
Organization,Sponsorship Category,Years of Sponsorship,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding
Asian American Research Journal,Publication (PUB),4,46744,34020502400000,,,,,"$1,000","$1,000"
BARE Magazine,Publication (PUB),11,46121,34020036400000,,,,,"$6,000","$6,000"
Berkeley Economic Review,Publication (PUB),5,91369,34020398000000,,,,,"$1,500","$1,500"
"Berkeley Political Review, The",Publication (PUB),22,46130,34020048400000,,,,,"$6,750","$6,750"
Berkeley Scientific Journal,Publication (PUB),8,117510,34020340800000,,,,,"$3,250","$3,250"
Blue and Gold Yearbook,Publication (PUB),10,46368,34020266800000,,,,,"$2,250","$2,250"
Business Review at Berkeley,Publication (PUB),5,91807,34020405600000,,,,,$800,$800
Caravan Travel & Style Magazine,Publication (PUB),7,235072,34020432400000,,,,,"$5,000","$5,000"
Comparative Literature Publication Association,Publication (PUB),2,60651,34020084800000,,,,,$900,$900
MIO (Formerly De Oro),Publication (PUB),1,385345,34020604800000,,,,,$900,$900
DIASPORA Magazine,Publication (PUB),3,360305,34020550400000,,,,,ROLLING SPONSORSHIP,$0
Gia Magazine,Publication (PUB),5,236806,34020459600000,,,,,SPONSORSHIP ONLY (ABSA),$0
Her Campus of Berkeley,Publication (PUB),4,91522,34020493200000,,,,,"$1,000","$1,000"
"Heuristic Squelch, The",Publication (PUB),28,46176,34020125200000,,,,,ROLLING SPONSORSHIP,$0
LIFE Campus Ministry,Publication (PUB),1,321243,34020605200000,,,,,$350,$350
maganda magazine,Publication (PUB),34,46123,34020156800000,,,,,$600,$600
Natural Hair Collective,Publication (PUB),2,377193,34020585600000,,,,,"$1,100","$1,100"
Public Health Advocate,Publication (PUB),20,46161,34020198800000,,,,,"$2,610","$2,610"
