Organization,Sponsorship Category,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding,Org Category,Years of Sponsorship
ASUC Mental Health Commission,GOVT,126447,34020287200000,,,,"$3,000","$3,000",ASUC Chartered Programs and Commissions,
ASUC Mental Health Commission Chair Stipend,STIPEND,126447,340202872STIPE,,,,"$1,500","$1,500",ASUC Chartered Programs and Commissions,
ASUC Mental Health Commission Director Stipends,STIPEND,126447,340202872STIPE,,,,$500,$500,ASUC Chartered Programs and Commissions,
ASUC Housing Commission,GOVT,46042,34010026000000,,,,"$3,000","$3,000",ASUC Chartered Programs and Commissions,
ASUC Housing Commission Chair Stipend,STIPEND,46042,340100260STIPE,,,,"$1,250","$1,250",ASUC Chartered Programs and Commissions,
ASUC Housing Commission Vice Chair Stipend,STIPEND,46042,340100260STIPE,,,,$750,$750,ASUC Chartered Programs and Commissions,
ASUC Sexual Violence Commission,GOVT,91441,34010029600000,,,,"$1,000","$1,000",ASUC Chartered Programs and Commissions,
ASUC Disabled Students Commission,GOVT,46719,34010036000000,,,,"$4,000","$4,000",ASUC Chartered Programs and Commissions,
ASUC Disabled Students Commission Co-Chair Stipends ($1000 each),STIPEND,46719,340100360STIPE,,,,"$2,000","$2,000",ASUC Chartered Programs and Commissions,
ASUC Sustainability Commission,GOVT,46003,34010023600000,,,,"$5,000","$5,000",ASUC Chartered Programs and Commissions,
ASUC Sustainablity Commission Co-Chair Stipends ($1000 each),STIPEND,46003,340100236STIPE,,,,"$2,000","$2,000",ASUC Chartered Programs and Commissions,
ASUC Health Advocacy Commission,GOVT,94207,34010036800000,,,,"$6,000","$6,000",ASUC Chartered Programs and Commissions,
ASUC Health Advocacy Commission Co-Chair Stipends ($1000 each),STIPEND,94207,340100368STIPE,,,,"$2,000","$2,000",ASUC Chartered Programs and Commissions,
ASUC Menstrual Equity Commission,GOVT,46718,34010037200000,,,,"$1,000","$1,000",ASUC Chartered Programs and Commissions,
ASUC Menstrual Equity Commission Co-Chair Stipends ($1000 each),STIPEND,46718,340100372STIPE,,,,"$2,000","$2,000",ASUC Chartered Programs and Commissions,
"ASUC Student Union Programming, Entertainment, and Recreation Board",GOVT,46330,34010028800000,,,,"$10,000","$10,000",ASUC Chartered Programs and Commissions,
CalTV,GOVT,46164,34020072400000,,,,"$9,000","$9,000",ASUC Chartered Programs and Commissions,
ASUC Publications and Media Board,GOVT,162553,34010036400000,,,,"$4,000","$4,000",ASUC Chartered Programs and Commissions,
Innovative Design,GOVT,46493,34010028000000,,,,"$7,500","$7,500",ASUC Chartered Programs and Commissions,
Open Computing Facility,GOVT,46187,34020175200000,,,,"$40,000","$40,000",ASUC Chartered Programs and Commissions,
