Org Name,Request Type,Committee Status,Amount,Date
Women's Club Basketball at Berkeley,Sponsorship,Denied or Tabled Indefinetly,0.0,02/03/2025
Beach Volleyball Club,Sponsorship,Approved,,02/03/2025
In Transcription at Berkeley,Sponsorship,Approved,,02/03/2025
Media Studies Student Association,Sponsorship,Approved,,02/03/2025
NeuroScience Club at Berkeley,Sponsorship,Tabled,0.0,02/03/2025
Best Laid Plans,Sponsorship,Approved,,02/03/2025
Sustainable Internet Lab,Sponsorship,Approved,,02/03/2025
Bamboo Abroad at Berkeley,Sponsorship,Approved,,02/03/2025
Field Hockey Club of Berkeley,Sponsorship,Tabled,0.0,02/03/2025
Engineering Solutions at Berkeley,Sponsorship,Approved,,02/03/2025
KOSMOS,Sponsorship,Approved,,02/03/2025
Venture Capital at Berkeley (BVC),Sponsorship,Approved,,02/03/2025
Cal Actuarial League,Sponsorship,Tabled,0.0,02/03/2025
Eritrean-Ethiopian Student Association,Sponsorship,Approved,,02/03/2025
Creative Residencies for Emerging Artists Teaching Empowerment,Sponsorship,Approved,,02/03/2025
Mycology Club at Berkeley,Sponsorship,Approved,,02/03/2025
Helix @ Berkeley (Under Community Projects),Contingency,Denied or Tabled Indefinetly,0,02/03/2025
Cognitive Science Students Association,Contingency,Denied or Tabled Indefinetly,0,02/03/2025
Pointe of Berkeley,Contingency,Denied or Tabled Indefinetly,0,02/03/2025
BridgeUSA at Berkeley (1500),Contingency,Tabled,0,02/03/2025
Jeeva Clinic (525),Contingency,Tabled,0,02/03/2025
"Heuristic Squelch, The (1000)",Contingency,Denied or Tabled Indefinetly,0,02/03/2025
"ASUC Office of Senator Isha Chander ($1,364)",Contingency,Approved,1364,02/03/2025
ASUC Office of External Affairs (415),Contingency,Approved,415,02/03/2025
"Berkeley Legal Studies Association ($1,500)",Contingency,Denied or Tabled Indefinetly,0,02/03/2025
"ASUC Health Advocacy Commission  ($1,299.00)",Space Reservation,Denied or Tabled Indefinetly,0,02/03/2025
International Students Association at Berkeley  ($933),Space Reservation,Denied or Tabled Indefinetly,0,02/03/2025
Cognitive Science Students Association  (1800),Space Reservation,Denied or Tabled Indefinetly,0,02/03/2025
Thrive Dance Company  (1503),Space Reservation,Denied or Tabled Indefinetly,0,02/03/2025
"Association of Korean Artists ($1,255)",Space Reservation,Denied or Tabled Indefinetly,0,02/03/2025
Natural Hair Collective (1500),Space Reservation,Tabled,0,02/03/2025
Artists in Resonance A Cappella  ($210.09),Finance Rule,Denied or Tabled Indefinetly,0,02/03/2025
ASUC Housing Commission (300),Finance Rule,Approved,300,02/03/2025
